,Date,Eclipse Time,Eclipse Type,Latitude,Longitude
10181,2227 May 2,09:32:27,P,15S,141W
10182,2227 October 25,15:02:23,P,11N,133E
10183,2228 April 20,12:20:32,T-,12S,177E
10184,2228 October 14,07:13:09,T+,8N,110W
10185,2229 April 9,12:21:26,P,8S,177E
10186,2229 October 3,22:29:31,P,5N,22E
10187,2230 February 28,04:27:10,N,9N,61W
10188,2230 March 29,16:58:24,N,5S,108E
10189,2230 August 24,18:48:09,N,12S,81E
10190,2231 February 17,18:27:46,P,13N,89E
10191,2231 August 13,19:45:54,P,15S,67E
10192,2232 February 7,10:17:44,T-,15N,149W
10193,2232 August 1,21:49:49,T,18S,36E
10194,2233 January 26,23:15:04,P,18N,16E
10195,2233 June 22,22:22:33,Ne,25S,27E
10196,2233 July 22,06:40:42,N,19S,97W
10197,2233 December 17,11:10:37,N,25N,166W
10198,2234 June 12,15:02:55,P,24S,137E
10199,2234 December 6,10:17:27,P,23N,155W
10200,2235 June 2,07:32:48,T-,22S,111W
10201,2235 November 25,13:38:16,T+,21N,154E
10202,2236 May 21,19:18:51,P,20S,72E
10203,2236 November 14,00:24:12,P,17N,8W
10204,2237 April 11,07:30:45,N,9S,111W
10205,2237 May 10,23:45:33,N,16S,5E
10206,2237 October 5,06:57:02,N,6N,105W
10207,2237 November 3,15:53:39,N,14N,120E
10208,2238 March 31,08:05:25,P,5S,118W
10209,2238 September 24,21:14:02,P,1N,42E
10210,2239 March 20,14:37:27,T+,0N,145E
10211,2239 September 14,05:17:34,T-,4S,78W
10212,2240 March 9,03:46:50,P,5N,52W
10213,2240 September 2,06:52:16,P,9S,101W
10214,2241 January 28,09:08:46,N,17N,132W
10215,2241 February 26,19:46:41,N,10N,69E
10216,2241 July 23,19:08:10,N,19S,77E
10217,2242 January 17,20:28:26,P,20N,58E
10218,2242 July 13,05:59:11,T,22S,86W
10219,2243 January 7,00:33:44,T+,23N,5W
10220,2243 July 2,22:07:19,T,23S,32E
10221,2243 December 26,23:42:17,P,24N,7E
10222,2244 May 23,06:56:57,N,19S,102W
10223,2244 June 21,15:07:43,N,25S,136E
10224,2244 November 15,10:48:54,N,17N,163W
10225,2244 December 15,01:25:20,N,25N,21W
10226,2245 May 12,16:43:42,P,18S,111E
10227,2245 November 4,23:23:16,P,15N,8E
10228,2246 May 1,19:20:11,T-,15S,72E
10229,2246 October 25,15:28:38,T+,12N,126E
10230,2247 April 20,19:34:24,P,12S,68E
10231,2247 October 15,06:25:30,P,9N,98W
10232,2248 March 10,12:44:45,N,5N,174E
10233,2248 April 9,00:42:30,N,9S,9W
10234,2248 September 4,01:38:56,N,8S,22W
10235,2248 October 3,15:52:04,Nb,5N,121E
10236,2249 February 28,03:04:45,P,9N,40W
10237,2249 August 24,02:22:14,P,12S,32W
10238,2250 February 17,18:58:32,T-,12N,81E
10239,2250 August 13,04:39:38,T+,15S,66W
10240,2251 February 7,07:45:40,P,15N,111W
10241,2251 August 2,13:53:15,P,17S,155E
10242,2251 December 28,19:12:49,N,25N,75E
10243,2252 June 22,22:33:27,P,24S,25E
10244,2252 December 16,18:18:41,P,24N,87E
10245,2253 June 12,14:57:11,T-,23S,138E
10246,2253 December 5,21:55:59,T+,22N,31E
10247,2254 June 2,02:24:40,P,21S,34W
10248,2254 November 25,08:54:59,P,20N,135W
10249,2255 April 22,14:36:07,N,13S,143E
10250,2255 May 22,06:33:13,N,19S,96W
10251,2255 October 16,15:04:25,N,10N,132E
10252,2255 November 15,00:24:34,N,17N,7W
10253,2256 April 10,15:31:04,P,9S,130E
10254,2256 October 5,04:57:13,P,5N,75W
10255,2257 March 30,22:36:42,T+,4S,24E
10256,2257 September 24,12:27:34,T-,1N,174E
10257,2258 March 20,12:10:19,P,1N,178W
10258,2258 September 13,13:39:53,P,4S,157E
10259,2259 February 8,17:51:42,N,14N,98E
10260,2259 March 10,04:19:51,N,6N,59W
10261,2259 August 4,02:02:00,N,16S,27W
10262,2259 September 2,14:47:56,Nb,9S,141E
10263,2260 January 29,04:55:22,P,18N,68W
10264,2260 July 23,13:17:09,T,19S,165E
10265,2261 January 17,08:40:06,T+,21N,125W
10266,2261 July 13,05:36:18,T,22S,80W
10267,2262 January 6,07:45:00,P,23N,112W
10268,2262 June 3,14:20:47,N,21S,147E
10269,2262 July 2,22:31:30,N,24S,26E
10270,2262 November 26,19:06:54,N,20N,73E
10271,2262 December 26,09:43:59,N,25N,144W
10272,2263 May 23,23:46:25,P,20S,5E
10273,2263 November 16,07:52:13,P,18N,119W
10274,2264 May 12,02:08:52,T+,18S,31W
10275,2264 November 4,23:52:49,T-,16N,0E
10276,2265 May 1,02:38:34,P,16S,38W
10277,2265 October 25,14:28:59,P,13N,141E
10278,2266 March 21,20:56:19,N,1N,51E
10279,2266 April 20,08:20:18,N,13S,123W
10280,2266 September 15,08:35:37,N,4S,127W
10281,2266 October 14,23:23:02,N,10N,8E
10282,2267 March 11,11:37:14,P,4N,169W
10283,2267 September 4,09:02:59,P,8S,133W
10284,2268 February 29,03:35:27,T-,8N,48W
10285,2268 August 23,11:34:51,T+,11S,170W
10286,2269 February 17,16:11:18,P,11N,123E
10287,2269 August 12,21:11:37,P,14S,46E
10288,2270 January 8,03:16:20,N,23N,45W
10289,2270 July 4,06:03:42,P,24S,87W
10290,2270 December 28,02:22:42,P,24N,33W
10291,2271 June 23,22:18:46,T-,24S,29E
10292,2271 December 17,06:18:50,T+,23N,93W
10293,2272 June 12,09:23:36,P,23S,138W
10294,2272 December 5,17:32:31,P,22N,97E
10295,2273 May 2,21:31:53,N,17S,39E
10296,2273 June 1,13:13:38,N,21S,164E
10297,2273 October 26,23:19:49,N,14N,8E
10298,2273 November 25,09:01:53,N,19N,136W
10299,2274 April 21,22:48:59,P,13S,20E
10300,2274 October 16,12:48:09,P,10N,167E
10301,2275 April 11,06:28:07,T+,8S,94W
10302,2275 October 5,19:44:07,T-,5N,64E
10303,2276 March 30,20:26:06,P,3S,57E
10304,2276 September 23,20:35:24,P,0S,52E
10305,2277 February 19,02:29:15,N,10N,32W
10306,2277 March 20,12:44:38,N,1N,174E
10307,2277 August 14,09:01:20,N,13S,132W
10308,2277 September 12,21:49:40,N,5S,35E
10309,2278 February 8,13:19:10,P,14N,166E
10310,2278 August 3,20:37:40,T,17S,55E
10311,2279 January 28,16:45:42,T+,18N,114E
10312,2279 July 24,13:05:07,T,20S,168E
10313,2280 January 17,15:49:31,P,21N,128E
10314,2280 June 13,21:38:07,Ne,22S,39E
10315,2280 July 13,05:52:36,N,23S,84W
10316,2280 December 7,03:32:38,N,21N,52W
10317,2281 January 5,18:06:46,N,24N,92E
10318,2281 June 3,06:42:43,P,22S,98W
10319,2281 November 26,16:27:11,P,20N,113E
10320,2282 May 23,08:52:42,T+,21S,131W
10321,2282 November 16,08:23:04,T-,19N,127W
10322,2283 May 12,09:37:20,P,19S,143W
10323,2283 November 5,22:38:43,P,16N,19E
10324,2284 April 1,05:01:09,N,4S,71W
10325,2284 April 30,15:51:43,N,16S,124E
10326,2284 September 25,15:39:31,N,0N,126E
10327,2284 October 25,07:01:35,N,14N,107W
10328,2285 March 21,20:01:07,P,0S,65E
10329,2285 September 14,15:53:25,P,4S,124E
10330,2286 March 11,12:04:37,T-,4N,176W
10331,2286 September 3,18:37:54,T+,7S,83E
10332,2287 March 1,00:30:02,P,7N,2W
10333,2287 August 24,04:35:07,P,10S,66W
10334,2288 January 19,11:19:30,N,22N,164W
10335,2288 July 14,13:31:30,P,22S,162E
10336,2288 August 12,20:15:31,Nb,13S,60E
10337,2289 January 7,10:30:56,P,23N,153W
10338,2289 July 4,05:36:25,T-,23S,80W
10339,2289 December 27,14:46:24,T+,23N,141E
10340,2290 June 23,16:17:39,P,23S,119E
10341,2290 December 17,02:15:35,P,23N,32W
10342,2291 May 14,04:20:25,Ne,20S,63W
10343,2291 June 12,19:47:41,N,22S,66E
10344,2291 November 7,07:41:44,N,18N,117W
10345,2291 December 6,17:45:10,N,21N,94E
10346,2292 May 2,06:00:52,P,16S,88W
10347,2292 October 26,20:45:26,P,13N,47E
10348,2293 April 21,14:13:28,T-,12S,149E
10349,2293 October 16,03:08:18,T-,9N,48W
10350,2294 April 11,04:36:13,P,8S,66W
10351,2294 October 5,03:38:22,P,4N,54W
10352,2295 March 2,11:01:08,N,6N,160W
10353,2295 March 31,21:02:51,N,3S,49E
10354,2295 August 25,16:07:04,N,9S,121E
10355,2295 September 24,05:00:02,N,1S,74W
10356,2296 February 19,21:35:59,P,11N,42E
10357,2296 August 14,04:03:01,P,14S,57W
10358,2297 February 8,00:46:04,T+,15N,5W
10359,2297 August 3,20:37:10,T-,17S,55E
10360,2298 January 27,23:51:16,P,19N,8E
10361,2298 July 24,13:14:16,P,21S,166E
10362,2298 December 18,12:03:40,N,22N,179W
10363,2299 January 17,02:30:29,N,22N,32W
10364,2299 June 14,13:31:01,P,22S,161E
10365,2299 December 8,01:09:08,P,22N,16W
10366,2300 June 3,15:28:06,T+,22S,131E
10367,2300 November 27,17:00:33,T-,21N,105E
10368,2301 May 23,16:29:16,P,21S,115E
10369,2301 November 17,06:56:02,P,19N,105W
10370,2302 April 13,12:59:53,N,8S,169E
10371,2302 May 12,23:17:54,N,19S,12E
10372,2302 October 7,22:49:32,N,4N,18E
10373,2302 November 6,14:46:26,N,17N,137E
10374,2303 April 3,04:19:40,P,4S,61W
10375,2303 September 26,22:50:54,P,1N,19E
10376,2304 March 22,20:26:42,T-,1S,58E
10377,2304 September 15,01:48:59,T+,3S,25W
10378,2305 March 12,08:41:35,P,3N,125W
10379,2305 September 4,12:05:50,P,7S,179W
10380,2306 January 30,19:20:01,N,19N,77E
10381,2306 March 1,13:42:55,N,7N,160E
10382,2306 July 26,21:01:27,N,20S,50E
10383,2306 August 25,03:53:23,N,10S,55W
10384,2307 January 19,18:39:13,P,21N,86E
10385,2307 July 16,12:51:48,T,22S,172E
10386,2308 January 8,23:16:24,T+,22N,15E
10387,2308 July 4,23:07:47,T,22S,17E
10388,2308 December 28,11:01:33,P,23N,162W
10389,2309 June 24,02:17:42,N,22S,31W
10390,2309 November 18,16:10:56,N,21N,116E
10391,2309 December 18,02:32:41,N,22N,36W
10392,2310 May 14,13:06:26,P,19S,166E
10393,2310 November 8,04:49:17,P,17N,73W
10394,2311 May 3,21:52:07,T-,16S,34E
10395,2311 October 28,10:40:16,T+,13N,161W
10396,2312 April 22,12:37:09,P,12S,174E
10397,2312 October 16,10:51:23,P,8N,163W
10398,2313 March 13,19:25:46,N,2N,74E
10399,2313 April 12,05:12:28,N,7S,74W
10400,2313 September 5,23:20:24,N,5S,12E
10401,2313 October 5,12:20:12,N,3N,176E
10402,2314 March 3,05:46:48,P,7N,81W
10403,2314 August 26,11:33:39,P,10S,170W
10404,2315 February 20,08:42:48,T+,11N,124W
10405,2315 August 16,04:10:27,T-,14S,58W
10406,2316 February 9,07:52:24,P,16N,111W
10407,2316 August 4,20:36:17,P,18S,56E
10408,2316 December 29,20:38:45,N,22N,54E
10409,2317 January 28,10:53:57,N,20N,157W
10410,2317 June 25,20:15:57,P,22S,60E
10411,2317 December 19,09:55:14,P,23N,146W
10412,2318 June 14,22:00:42,T+,23S,33E
10413,2318 December 9,01:41:59,T-,23N,24W
10414,2319 June 3,23:18:19,P,23S,13E
10415,2319 November 28,15:18:35,P,22N,130E
10416,2320 April 23,20:50:31,N,11S,51E
10417,2320 May 23,06:38:12,N,22S,97W
10418,2320 October 18,06:08:39,N,8N,92W
10419,2320 November 16,22:38:58,N,20N,19E
10420,2321 April 13,12:29:34,P,8S,176E
10421,2321 October 7,05:58:35,P,5N,89W
10422,2322 April 3,04:39:45,T-,5S,66W
10423,2322 September 26,09:09:54,T-,1N,136W
10424,2323 March 23,16:43:41,P,1S,114E
10425,2323 September 15,19:43:08,P,3S,66E
10426,2324 February 11,03:17:27,N,16N,42W
10427,2324 March 11,21:29:30,N,2N,43E
10428,2324 August 6,04:31:49,N,18S,63W
10429,2324 September 4,11:36:05,N,6S,171W
10430,2325 January 30,02:46:50,P,18N,35W
10431,2325 July 26,20:06:28,T,20S,64E
10432,2326 January 19,07:48:32,T+,20N,111W
10433,2326 July 16,05:54:47,T,21S,84W
10434,2327 January 8,19:50:18,P,22N,67E
10435,2327 July 5,08:44:32,N,22S,127W
10436,2327 November 30,00:45:50,N,23N,11W
10437,2327 December 29,11:23:32,N,22N,168W
10438,2328 May 24,20:06:39,P,22S,61E
10439,2328 November 18,12:59:37,P,20N,165E
10440,2329 May 14,05:26:11,T-,19S,79W
10441,2329 November 7,18:18:33,T+,16N,85E
10442,2330 May 3,20:33:07,P,15S,55E
10443,2330 October 27,18:12:55,P,12N,86E
10444,2331 March 25,03:42:19,N,3S,51W
10445,2331 April 23,13:14:05,N,11S,165E
10446,2331 September 17,06:41:33,N,1S,99W
10447,2331 October 16,19:49:56,N,8N,63E
10448,2332 March 13,13:48:34,P,2N,158E
10449,2332 September 5,19:11:20,P,6S,75E
10450,2333 March 2,16:30:27,T+,7N,119E
10451,2333 August 26,11:49:39,T-,10S,173W
10452,2334 February 19,15:48:18,P,12N,130E
10453,2334 August 16,03:59:52,P,15S,55W
10454,2335 January 10,05:16:00,N,21N,74W
10455,2335 February 8,19:15:18,N,16N,78E
10456,2335 July 7,02:55:54,N,22S,39W
10457,2335 December 30,18:45:24,P,22N,83E
10458,2336 June 25,04:27:14,T,23S,62W
10459,2336 December 19,10:28:54,T-,23N,155W
10460,2337 June 14,06:03:17,T,24S,87W
10461,2337 December 8,23:45:53,P,23N,5E
10462,2338 May 5,04:35:58,N,15S,66W
10463,2338 June 3,13:55:27,N,23S,154E
10464,2338 October 29,13:35:05,N,12N,156E
10465,2338 November 28,06:37:25,N,22N,99W
10466,2339 April 24,20:32:43,P,12S,55E
10467,2339 October 18,13:14:22,P,9N,162E
10468,2340 April 13,12:45:17,T+,9S,172E
10469,2340 October 6,16:39:55,T-,5N,111E
10470,2341 April 3,00:36:59,P,6S,5W
10471,2341 September 26,03:29:16,P,2N,51W
10472,2342 February 21,11:09:44,N,12N,160W
10473,2342 March 23,05:08:18,N,2S,73W
10474,2342 August 17,12:05:10,N,15S,176W
10475,2342 September 15,19:24:22,N,2S,71E
10476,2343 February 10,10:51:39,P,15N,156W
10477,2343 August 7,03:21:51,P,17S,45W
10478,2344 January 30,16:18:41,T+,18N,122E
10479,2344 July 26,12:40:59,T,19S,175E
10480,2345 January 19,04:38:50,P,20N,64W
10481,2345 July 15,15:10:59,N,20S,137E
10482,2345 December 10,09:24:58,N,24N,140W
10483,2346 January 8,20:14:46,N,21N,61E
10484,2346 June 5,03:03:17,P,23S,42W
10485,2346 November 29,21:15:59,P,22N,41E
10486,2347 May 25,12:53:35,T-,21S,170E
10487,2347 November 19,02:04:59,T+,19N,31W
10488,2348 May 14,04:21:14,P,18S,62W
10489,2348 November 7,01:44:25,P,16N,26W
10490,2349 April 4,11:49:55,N,7S,173W
10491,2349 May 3,21:07:25,N,15S,46E
10492,2349 September 27,14:12:31,N,3N,148E
10493,2349 October 27,03:30:27,N,11N,53W
10494,2350 March 24,21:42:58,P,2S,39E
10495,2350 September 17,02:54:54,P,2S,41W
10496,2351 March 14,00:12:41,T+,3N,3E
10497,2351 September 6,19:32:42,T-,6S,70E
10498,2352 March 1,23:39:18,P,8N,12E
10499,2352 August 26,11:26:40,P,11S,167W
10500,2353 January 20,13:54:28,N,19N,157E
10501,2353 February 19,03:33:51,N,13N,46W
10502,2353 July 17,09:35:20,N,20S,138W
10503,2354 January 10,03:35:57,P,21N,49W
10504,2354 July 6,10:53:56,T,22S,158W
10505,2354 December 30,19:17:27,T-,23N,75E
10506,2355 June 25,12:46:19,T,24S,173E
10507,2355 December 20,08:16:43,P,24N,121W
10508,2356 May 15,12:14:44,N,18S,180E
10509,2356 June 13,21:09:23,N,24S,46E
10510,2356 December 8,14:40:36,N,24N,141E
10511,2357 May 5,04:27:44,P,15S,64W
10512,2357 October 28,20:41:13,P,13N,50E
10513,2358 April 24,20:41:46,T+,13S,53E
10514,2358 October 18,00:19:34,T-,9N,5W
10515,2359 April 14,08:20:06,P,10S,121W
10516,2359 October 7,11:23:43,P,6N,170W
10517,2360 March 3,18:54:38,N,8N,84E
10518,2360 April 2,12:35:50,N,6S,175E
10519,2360 August 27,19:41:56,N,11S,69E
10520,2360 September 26,03:19:54,N,2N,49W
10521,2361 February 20,18:53:07,P,11N,84E
10522,2361 August 17,10:38:41,P,14S,154W
10523,2362 February 10,00:47:27,T+,15N,5W
10524,2362 August 6,19:27:11,T+,16S,74E
10525,2363 January 30,13:27:21,P,17N,165E
10526,2363 July 26,21:36:02,P,19S,41E
10527,2363 December 21,18:08:30,N,25N,91E
10528,2364 January 20,05:07:05,N,19N,71W
10529,2364 June 15,09:57:15,N,24S,145W
10530,2364 December 10,05:36:17,P,24N,82W
10531,2365 June 4,20:18:36,T-,23S,59E
10532,2365 November 29,09:57:07,T+,22N,148W
10533,2366 May 25,12:05:08,T,20S,178W
10534,2366 November 18,09:23:06,P,19N,141W
10535,2367 April 15,19:48:55,N,11S,66E
10536,2367 May 15,04:53:36,N,18S,70W
10537,2367 October 8,21:52:39,N,7N,32E
10538,2367 November 7,11:20:25,N,15N,170W
10539,2368 April 4,05:25:31,P,6S,77W
10540,2368 September 27,10:47:20,P,3N,160W
10541,2369 March 24,07:44:15,T-,1S,111W
10542,2369 September 17,03:22:09,T+,2S,48W
10543,2370 March 13,07:22:52,P,4N,104W
10544,2370 September 6,18:57:22,P,7S,80E
10545,2371 January 31,22:31:48,N,16N,29E
10546,2371 March 2,11:47:04,N,9N,169W
10547,2371 July 28,16:11:29,N,18S,123E
10548,2371 August 27,05:10:45,Nb,12S,73W
10549,2372 January 21,12:27:44,P,19N,180E
10550,2372 July 16,17:18:29,P,21S,106E
10551,2373 January 10,04:07:33,T-,22N,56W
10552,2373 July 5,19:28:57,T-,23S,73E
10553,2373 December 30,16:50:27,P,24N,112E
10554,2374 June 25,04:21:36,P,24S,61W
10555,2374 December 19,22:47:53,N,25N,21E
10556,2375 May 16,12:17:12,P,18S,179E
10557,2375 November 9,04:16:34,P,16N,64W
10558,2376 May 5,04:29:55,T+,16S,64W
10559,2376 October 28,08:09:00,T-,13N,122W
10560,2377 April 24,15:54:42,P,14S,125E
10561,2377 October 17,19:26:08,P,10N,69E
10562,2378 March 15,02:32:23,N,4N,31W
10563,2378 April 13,19:55:16,N,10S,65E
10564,2378 September 8,03:23:53,N,7S,47W
10565,2378 October 7,11:22:21,N,7N,170W
10566,2379 March 4,02:48:34,P,7N,35W
10567,2379 August 28,17:58:09,P,10S,95E
10568,2380 February 21,09:11:43,T+,11N,131W
10569,2380 August 17,02:16:10,T+,13S,29W
10570,2381 February 9,22:11:31,P,14N,34E
10571,2381 August 6,04:04:39,P,16S,56W
10572,2382 January 1,02:54:07,N,24N,39W
10573,2382 January 30,13:57:10,N,16N,157E
10574,2382 June 26,16:49:14,N,24S,113E
10575,2382 December 21,14:00:40,P,24N,153E
10576,2383 June 16,03:39:21,T,24S,50W
10577,2383 December 10,17:55:40,T+,23N,93E
10578,2384 June 4,19:42:06,T,22S,68E
10579,2384 November 28,17:11:03,P,21N,103E
10580,2385 April 26,03:39:11,N,15S,51W
10581,2385 May 25,12:32:57,N,20S,175E
10582,2385 November 17,19:18:57,N,18N,71E
10583,2386 April 15,12:59:59,P,11S,169E
10584,2386 October 8,18:46:46,P,7N,79E
10585,2387 April 4,15:07:51,T-,6S,138E
10586,2387 September 28,11:16:56,T+,2N,167W
10587,2388 March 23,15:00:16,P,1S,141E
10588,2388 September 17,02:33:17,P,3S,35W
10589,2389 February 11,07:06:06,N,13N,99W
10590,2389 March 12,19:54:34,N,4N,68E
10591,2389 August 7,22:50:34,N,15S,23E
10592,2389 September 6,12:15:03,N,8S,179W
10593,2390 January 31,21:17:34,P,17N,48E
10594,2390 July 27,23:44:46,P,18S,10E
10595,2391 January 21,12:56:41,T-,20N,173E
10596,2391 July 17,02:12:50,T-,21S,27W
10597,2392 January 11,01:23:56,P,23N,15W
10598,2392 July 5,11:33:11,P,24S,168W
10599,2392 December 30,06:57:20,N,24N,100W
10600,2393 May 26,20:00:14,P,20S,64E
10601,2393 November 19,12:00:29,P,19N,179W
10602,2394 May 16,12:10:00,T+,19S,179W
10603,2394 November 8,16:08:09,T-,16N,118E
10604,2395 May 5,23:17:48,P,17S,14E
10605,2395 October 29,03:37:44,P,14N,54W
10606,2396 March 25,10:01:24,Ne,1S,144W
10607,2396 April 24,03:03:43,N,14S,43W
10608,2396 September 18,11:11:24,N,3S,164W
10609,2396 October 17,19:32:43,N,11N,67E
10610,2397 March 14,10:38:04,P,3N,153W
10611,2397 September 8,01:22:03,P,6S,16W
10612,2398 March 3,17:32:53,T+,7N,104E
10613,2398 August 28,09:06:27,T+,10S,132W
10614,2399 February 21,06:53:33,P,10N,96W
10615,2399 August 17,10:35:26,P,13S,154W
10616,2400 January 12,11:40:47,N,23N,169W
10617,2400 February 10,22:44:27,N,13N,26E
10618,2400 July 6,23:41:22,N,24S,11E
10619,2400 August 5,12:01:19,Nb,15S,175W
10620,2400 December 31,22:26:34,P,24N,29E
10621,2401 June 26,10:59:50,T,24S,160W
10622,2401 December 21,01:56:07,T+,24N,25W
10623,2402 June 16,03:16:59,T,23S,44W
10624,2402 December 10,01:04:27,P,22N,14W
10625,2403 May 7,11:19:39,N,18S,167W
10626,2403 June 5,20:05:08,N,21S,63E
10627,2403 November 29,03:25:44,N,20N,50W
10628,2404 April 25,20:22:55,P,14S,58E
10629,2404 October 19,02:55:17,P,11N,43W
10630,2405 April 14,22:20:34,T-,10S,29E
10631,2405 October 8,19:19:56,T+,6N,71E
10632,2406 April 3,22:29:30,P,5S,28E
10633,2406 September 28,10:14:02,P,2N,151W
10634,2407 February 22,15:37:08,N,9N,133E
10635,2407 March 24,03:55:49,N,0S,53W
10636,2407 August 19,05:30:19,N,12S,77W
10637,2407 September 17,19:23:23,N,3S,73E
10638,2408 February 12,06:04:35,P,13N,83W
10639,2408 August 7,06:12:58,P,16S,87W
10640,2409 January 31,21:44:38,T-,17N,42E
10641,2409 July 27,08:59:05,T-,19S,128W
10642,2410 January 21,09:56:47,P,20N,142W
10643,2410 July 16,18:45:58,P,22S,85E
10644,2411 January 10,15:08:15,N,23N,139E
10645,2411 June 7,03:37:47,P,22S,50W
10646,2411 July 6,10:22:42,Nb,24S,150W
10647,2411 November 30,19:52:22,P,21N,64E
10648,2412 May 26,19:43:25,T+,21S,68E
10649,2412 November 19,00:15:25,T-,19N,3W
10650,2413 May 16,06:33:36,P,20S,95W
